neighbourhood,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Seacliff,0,0,0,1988,1945,1950,1925,1995,2500,2500
Haight Ashbury,0,0,1895,2350,2840,2780,2695,2900,2900,3110
Outer Mission,0,0,0,1350,1520,1975,1575,2241,1800,1900
Downtown/Civic Center,0,1620,1850,2506,2740,2358,2610,3400,3310,3500
Diamond Heights,0,0,0,2150,2700,2700,2765,2765,2900,2900
Lakeshore,0,0,0,2081,1930,2150,2150,2150,2450,2450
Russian Hill,0,0,2895,2895,3325,3450,3500,4000,3830,3700
Noe Valley,0,0,2097,2300,2695,2700,2765,3050,3500,3310
Inner Sunset,0,0,1775,2000,2200,2200,2295,2395,2800,2800
Treasure Island/YBI,0,0,0,0,0,0,0,0,0,0
Outer Richmond,0,0,1525,1698,1945,1950,1925,1995,2500,2500
Crocker Amazon,0,0,0,1180,1180,1180,1180,1180,1180,1180
Excelsior,0,0,1350,1450,1520,1575,1575,1825,1800,1900
Parkside,0,0,0,1359,1900,1900,2000,2000,2250,2250
Financial District,0,2907,3000,3250,3485,3235,2950,3400,3700,4100
Ocean View,0,0,0,1675,1675,1675,1675,1675,1675,1675
Mission,0,1650,1900,2250,2600,2725,2800,3250,3410,3700,3800
West of Twin Peaks,0,0,1995,2330,2415,2515,2245,2608,3010,3010
Inner Richmond,0,0,1625,1800,2075,2100,2295,2193,2450,3050
Marina,0,0,2495,2650,3090,3415,3650,3650,3400,3700
Bayview,0,0,1400,2353,2725,1875,1950,1425,2300,2300
Visitacion Valley,0,0,1200,1250,1250,1250,1250,1750,1750,1750
Pacific Heights,0,0,3250,2790,3110,3525,3500,3600,3600,4000
Presidio Heights,0,0,2500,2300,2850,2900,3000,2800,2800,2900
South of Market,0,0,2800,3065,3125,3375,3345,3359,3700,3920
Glen Park,0,0,1600,2150,2700,2700,2765,2700,2790,3920,3920
Potrero Hill,0,2400,2400,2995,2995,3025,3200,3325,3495,3630
Castro/Upper Market,0,0,2150,2495,2990,2895,2950,2950,3500,3500
Twin Peaks,0,0,1900,2050,2650,2515,2650,2523,3190,3470
Bernal Heights,0,0,1683,2095,2430,2525,3070,3390,2800,2900
Chinatown,0,0,0,2695,2995,3100,3050,3200,3830,3700
North Beach,0,0,2400,2650,3075,3150,3225,3248,3250,3300
Presidio,0,0,0,2658,3040,2750,2866,3100,3100,3200
Nob Hill,0,0,2000,2295,2995,3100,3050,3200,3220,3300
Outer Sunset,0,0,1350,1500,1900,1900,2000,1725,2250,2250
Western Addition,0,0,1795,2390,2655,2723,2650,3075,3150,3200
Golden Gate Park,0,0,0,0,0,0,0,0,0,0